08/11 14:34:00 FINE sim.Admin|Log for simulation 1 started
************************************************************
* Log for simulation 1 started
************************************************************


08/11 14:34:00 INFO sim.TACAdxSimulation|TACAA Simulation 1 is setting up...
08/11 14:34:00 INFO sim.TACAdxSimulation|Created Adx Agent
08/11 14:34:00 INFO sim.TACAdxSimulation|Created Demand Agent
08/11 14:34:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
08/11 14:34:00 FINE sim.ExternalAgent|sample setup with address adv1
08/11 14:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
08/11 14:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
08/11 14:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
08/11 14:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
08/11 14:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
08/11 14:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
08/11 14:34:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
08/11 14:34:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
08/11 14:34:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
08/11 14:34:00 INFO agents.DemandAgent|setting up...
08/11 14:34:00 FINE agents.DemandAgent|Finished setup
08/11 14:34:01 INFO sim.Simulation|***** START OF TIME 0 *****
08/11 14:34:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1064004131, reachImps=6507, dayStart=1, dayEnd=5, targetSegment=[OLD, MALE], videoCoef=2.908043209273999, mobileCoef=1.9051098067272314, budgetMillis=6507, advertiser=adv1]
08/11 14:34:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5a2f09e3 event: tau.tac.adx.messages.UserClassificationServiceNotification@f0cd193
08/11 14:34:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1208878884, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.687504640895425, mobileCoef=1.7538364667531723, budgetMillis=9540, advertiser=DummyAdnetwork]
08/11 14:34:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5a2f09e3 event: tau.tac.adx.messages.UserClassificationServiceNotification@7b798baa
08/11 14:34:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1497097527, reachImps=3037, dayStart=1, dayEnd=5, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.519182158860711, mobileCoef=1.9708578655015059, budgetMillis=3037, advertiser=DummyAdnetwork-2]
08/11 14:34:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5a2f09e3 event: tau.tac.adx.messages.UserClassificationServiceNotification@305237ca
08/11 14:34:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=140321219, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.0547526477047997, mobileCoef=1.7581116323735368, budgetMillis=9540, advertiser=DummyAdnetwork-3]
08/11 14:34:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5a2f09e3 event: tau.tac.adx.messages.UserClassificationServiceNotification@3f4edfb9
08/11 14:34:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=962238266, reachImps=1932, dayStart=1, dayEnd=5, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.4744843773756235, mobileCoef=1.6719252534259832, budgetMillis=1932, advertiser=DummyAdnetwork-4]
08/11 14:34:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5a2f09e3 event: tau.tac.adx.messages.UserClassificationServiceNotification@18171bbc
08/11 14:34:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=2040881732, reachImps=1932, dayStart=1, dayEnd=5, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.495053835584274, mobileCoef=2.3986040104343704, budgetMillis=1932, advertiser=DummyAdnetwork-5]
08/11 14:34:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5a2f09e3 event: tau.tac.adx.messages.UserClassificationServiceNotification@305fc9de
08/11 14:34:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1565617064, reachImps=10952, dayStart=1, dayEnd=5, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.3638613609607666, mobileCoef=2.142562250878826, budgetMillis=10952, advertiser=DummyAdnetwork-6]
08/11 14:34:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5a2f09e3 event: tau.tac.adx.messages.UserClassificationServiceNotification@7dbb4145
08/11 14:34:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=794733556, reachImps=7020, dayStart=1, dayEnd=5, targetSegment=[FEMALE, OLD], videoCoef=2.625467260861321, mobileCoef=1.8093123060389864, budgetMillis=7020, advertiser=DummyAdnetwork-7]
08/11 14:34:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5a2f09e3 event: tau.tac.adx.messages.UserClassificationServiceNotification@618196f8
08/11 14:34:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5a2f09e3 event: tau.tac.adx.messages.UserClassificationServiceNotification@37dbbd4b
08/11 14:34:01 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=273507228, reachImps=20176, dayStart=2, dayEnd=6, targetSegment=[FEMALE], videoCoef=2.650461856267679, mobileCoef=2.0218937079309294, budgetMillis=0, advertiser=null]
08/11 14:34:01 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
