08/11 14:45:00 FINE sim.Admin|Log for simulation 2 started
************************************************************
* Log for simulation 2 started
************************************************************


08/11 14:45:00 INFO sim.TACAdxSimulation|TACAA Simulation 2 is setting up...
08/11 14:45:00 INFO sim.TACAdxSimulation|Created Adx Agent
08/11 14:45:00 INFO sim.TACAdxSimulation|Created Demand Agent
08/11 14:45:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
08/11 14:45:00 FINE sim.ExternalAgent|sample setup with address adv1
08/11 14:45:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
08/11 14:45:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
08/11 14:45:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
08/11 14:45:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
08/11 14:45:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
08/11 14:45:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
08/11 14:45:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
08/11 14:45:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
08/11 14:45:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
08/11 14:45:00 INFO agents.DemandAgent|setting up...
08/11 14:45:00 FINE agents.DemandAgent|Finished setup
08/11 14:45:00 INFO sim.Simulation|***** START OF TIME 0 *****
08/11 14:45:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=745070302, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.3419944765759793, mobileCoef=1.6643488190174067, budgetMillis=3312, advertiser=adv1]
08/11 14:45:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@22af2523 event: tau.tac.adx.messages.UserClassificationServiceNotification@2690b5ae
08/11 14:45:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1670524696, reachImps=6507, dayStart=1, dayEnd=5, targetSegment=[OLD, MALE], videoCoef=2.007407946698936, mobileCoef=1.6830619610848214, budgetMillis=6507, advertiser=DummyAdnetwork]
08/11 14:45:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@22af2523 event: tau.tac.adx.messages.UserClassificationServiceNotification@966839a
08/11 14:45:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1379609000, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, MALE], videoCoef=2.421539876003402, mobileCoef=2.363403353268351, budgetMillis=3312, advertiser=DummyAdnetwork-2]
08/11 14:45:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@22af2523 event: tau.tac.adx.messages.UserClassificationServiceNotification@7125db84
08/11 14:45:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=62771287, reachImps=6507, dayStart=1, dayEnd=5, targetSegment=[OLD, MALE], videoCoef=2.2126342525559513, mobileCoef=1.5748493862798059, budgetMillis=6507, advertiser=DummyAdnetwork-3]
08/11 14:45:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@22af2523 event: tau.tac.adx.messages.UserClassificationServiceNotification@3e7af9e9
08/11 14:45:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=898101735, reachImps=5590, dayStart=1, dayEnd=5, targetSegment=[FEMALE, YOUNG], videoCoef=2.8232955843266754, mobileCoef=2.424531082413263, budgetMillis=5590, advertiser=DummyAdnetwork-4]
08/11 14:45:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@22af2523 event: tau.tac.adx.messages.UserClassificationServiceNotification@6a21f528
08/11 14:45:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=133410643, reachImps=9077, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.2340741434254774, mobileCoef=1.6096218938950009, budgetMillis=9077, advertiser=DummyAdnetwork-5]
08/11 14:45:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@22af2523 event: tau.tac.adx.messages.UserClassificationServiceNotification@6e2fbbf5
08/11 14:45:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1680697118, reachImps=7020, dayStart=1, dayEnd=5, targetSegment=[FEMALE, OLD], videoCoef=2.871829758249758, mobileCoef=1.6738837323367042, budgetMillis=7020, advertiser=DummyAdnetwork-6]
08/11 14:45:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@22af2523 event: tau.tac.adx.messages.UserClassificationServiceNotification@1c04606
08/11 14:45:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=458483802, reachImps=10490, dayStart=1, dayEnd=5, targetSegment=[OLD, LOW_INCOME], videoCoef=2.3187395286081287, mobileCoef=1.9485755163837029, budgetMillis=10490, advertiser=DummyAdnetwork-7]
08/11 14:45:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@22af2523 event: tau.tac.adx.messages.UserClassificationServiceNotification@83018d6
08/11 14:45:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@22af2523 event: tau.tac.adx.messages.UserClassificationServiceNotification@7aa9b59
08/11 14:45:00 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=81333724, reachImps=10088, dayStart=2, dayEnd=11, targetSegment=[FEMALE], videoCoef=2.4413760706516685, mobileCoef=1.94337427274523, budgetMillis=0, advertiser=null]
08/11 14:45:00 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
08/11 14:45:00 INFO sim.MessageDispatcher|Message dispatcher sim1 IS BEING GARBAGED
08/11 14:45:00 INFO sim.Simulation|SIMULATION 1 IS BEING GARBAGED
08/11 14:45:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.15774769837308078 Cmp ID: 81333724 Cmp Bid: 6448
08/11 14:45:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.1427157368020786 Cmp ID: 81333724 Cmp Bid: 5993
08/11 14:45:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.13298693836111278 Cmp ID: 81333724 Cmp Bid: 4252
08/11 14:45:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.14611642129432592 Cmp ID: 81333724 Cmp Bid: 5414
08/11 14:45:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.14986105972844765 Cmp ID: 81333724 Cmp Bid: 8266
08/11 14:45:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.18598058432220116 Cmp ID: 81333724 Cmp Bid: 9222
08/11 14:45:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.15950101976946052 Cmp ID: 81333724 Cmp Bid: 8851
08/11 14:45:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.18443981541095292 Cmp ID: 81333724 Cmp Bid: 8018
08/11 14:45:10 INFO sim.Simulation|***** START OF TIME 1 *****
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: adv1
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #745070302 at price 3.312
08/11 14:45:10 INFO demand.CampaignImpl|Applied daily limit for campaign #745070302 at price 3.312
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1670524696 at price 6.507
08/11 14:45:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1670524696 at price 6.507
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-2
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1379609000 at price 3.312
08/11 14:45:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1379609000 at price 3.312
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-3
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #62771287 at price 6.507
08/11 14:45:10 INFO demand.CampaignImpl|Applied daily limit for campaign #62771287 at price 6.507
08/11 14:45:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-4
